Date,Open,High,Low,Close,Adj Close,Volume,SMA_50,SMA_200,RSI,Upper_Band,Lower_Band
2020-10-15,164.60049438476562,167.79400634765625,164.0,166.9324951171875,166.9324951171875,104468000,161.06153900146484,127.4759243774414,63.33477938856596,173.15470340538747,144.51549617957346
2020-10-16,168.1614990234375,169.98300170898438,158.0,163.635498046875,163.635498046875,129488000,161.10924896240235,127.81959938049316,55.48037558717281,173.09638105424938,146.16281846967638
2020-10-19,164.98049926757812,166.4499969482422,159.63699340820312,160.36050415039062,160.36050415039062,104472000,161.1489990234375,128.15265941619873,53.32799315379423,172.55524016188608,147.93765992356313
2020-10-20,161.11399841308594,163.3000030517578,159.60049438476562,160.85049438476562,160.85049438476562,90194000,161.21784881591796,128.48119190216065,53.622665118336506,172.6461599419701,148.2868402411354
2020-10-21,160.625,161.69400024414062,158.0,159.2469940185547,159.2469940185547,91854000,161.32211883544923,128.80071186065675,47.98655242908254,172.09442446810093,149.763975495278
2020-10-22,159.49349975585938,159.9375,156.0970001220703,158.82000732421875,158.82000732421875,84240000,161.33627899169923,129.12181938171386,53.15640418645025,171.52630562004043,151.11514488044787
2020-10-23,159.5500030517578,160.26649475097656,157.0,160.22000122070312,160.22000122070312,69334000,161.37965911865234,129.44765689849854,50.338525824241536,171.34189266525692,151.8459079328876
2020-10-26,159.93699645996094,164.1490020751953,157.6649932861328,160.3520050048828,160.3520050048828,118024000,161.43867919921874,129.77862693786622,57.97415399607655,171.34898474535254,152.0037664143154
2020-10-27,161.2469940185547,164.58299255371094,160.56500244140625,164.31649780273438,164.31649780273438,85820000,161.5425991821289,130.12738441467286,56.91929642439302,171.53601292532022,152.52398768503133
2020-10-28,162.46499633789062,163.2010040283203,158.12350463867188,158.13900756835938,158.13900756835938,111766000,161.39288940429688,130.4507194519043,48.204670272215516,171.50463035917542,152.62562171601988
2020-10-29,160.06350708007812,162.8625030517578,158.1999969482422,160.55050659179688,160.55050659179688,131930000,161.3434194946289,130.78796699523926,44.787183880076434,171.49323159992932,152.58577078044178
2020-10-30,157.8874969482422,158.35000610351562,150.9499969482422,151.8074951171875,151.8074951171875,167728000,161.08219940185546,131.07751945495605,22.666281146635015,172.02274780703905,151.6120040850508
2020-11-02,153.08700561523438,153.98550415039062,147.50599670410156,150.2239990234375,150.2239990234375,145148000,160.80195953369142,131.36245944976807,21.67026873149176,172.7639316200794,149.89721950296746
